lat,lon,urbanCentre,n
-0.6695132,37.2061138,Sagana,10499
-0.1164949,36.479957,Shamata,9221
-0.0617328,34.2421597,Siaya,23825
-0.52949133,34.1713391,Sindo,6788
3.541985,38.658291,Sololo,5035
-0.457707,34.8769,Sori,8604
-0.6906735,35.1110613,Sotik,8141
-0.0018807,36.2278245,Subukia,7286
-2.0168394,37.3693679,Sultan Hamud,6171
-0.6787595,34.70769,Suneka,50961
-0.7517695,34.641394,Tabaka,12526
3.4233267,40.2271243,Takaba,23922
-3.3997859,37.6732489,Taveta,19288
-1.0387569,37.0833753,Thika,151225
0.0854987,37.2383506,Timau,8227
-1.1362798,36.8196442,Ting'ang'a,6944
0.1811028,34.2966264,Ugunja,7149
-4.2879181,39.565308,Ukunda,69294
-0.9521532,34.4420073,Uriri,6202
-0.0676755,34.0557887,Usenge,9954
0.0767553,34.7077665,Vihiga,124391
-3.3973104,38.5559336,Voi,16136
1.7488388,40.058633,Wajir,82106
0.985779954,37.32137101,Wamba,6059
-0.6838817,37.3586816,Wanguru,23935
-3.3425465,40.0274159,Watamu,9407
0.5992059,34.779603,Webuye,49767
-1.788625,37.6333396,Wote,67542
-3.3982231,38.3639837,Wundanyi,6576
